data,indice
01/01/1995,109.176
01/02/1995,111.453
01/03/1995,115.131
01/04/1995,117.774
01/05/1995,128.098
01/06/1995,132.09
01/07/1995,133.524
01/08/1995,134.353
01/09/1995,135.318
01/10/1995,136.484
01/11/1995,137.478
01/12/1995,138.664
01/01/1996,140.766
01/02/1996,140.926
01/03/1996,142.313
01/04/1996,142.663
01/05/1996,145.742
01/06/1996,147.986
01/07/1996,149.095
01/08/1996,149.445
01/09/1996,149.772
01/10/1996,150.162
01/11/1996,151.035
01/12/1996,151.922
01/01/1997,152.408
01/02/1997,153.147
01/03/1997,154.26
01/04/1997,154.616
01/05/1997,155.953
01/06/1997,157.687
01/07/1997,158.485
01/08/1997,160.352
01/09/1997,160.78
01/10/1997,161.024
01/11/1997,161.897
01/12/1997,162.271
01/01/1998,162.805
01/02/1998,163.593
01/03/1998,164.361
01/04/1998,163.535
01/05/1998,165.133
01/06/1998,165.781
01/07/1998,166.345
01/08/1998,166.705
01/09/1998,166.729
01/10/1998,166.738
01/11/1998,166.657
01/12/1998,166.733
01/01/1999,167.648
01/02/1999,169.288
01/03/1999,170.221
01/04/1999,171.1
01/05/1999,172.578
01/06/1999,173.279
01/07/1999,174.074
01/08/1999,175.28
01/09/1999,176.785
01/10/1999,178.574
01/11/1999,180.207
01/12/1999,182.084
01/01/2000,184.039
01/02/2000,185.461
01/03/2000,186.492
01/04/2000,187.604
01/05/2000,190.136
01/06/2000,191.527
01/07/2000,192.104
01/08/2000,192.846
01/09/2000,193.342
01/10/2000,193.984
01/11/2000,194.789
01/12/2000,196.037
01/01/2001,197.174
01/02/2001,197.849
01/03/2001,198.388
01/04/2001,199.112
01/05/2001,203.321
01/06/2001,205.682
01/07/2001,206.742
01/08/2001,208.026
01/09/2001,209.174
01/10/2001,211.122
01/11/2001,212.676
01/12/2001,213.393
01/01/2002,214.162
01/02/2002,215.399
01/03/2002,216.577
01/04/2002,217.288
01/05/2002,222.793
01/06/2002,224.054
01/07/2002,224.712
01/08/2002,226.968
01/09/2002,228.576
01/10/2002,231.167
01/11/2002,236.83
01/12/2002,240.861
01/01/2003,244.489
01/02/2003,247.898
01/03/2003,251.318
01/04/2003,253.585
01/05/2003,260.778
01/06/2003,263.516
01/07/2003,266.132
01/08/2003,269.967
01/09/2003,270.555
01/10/2003,272.325
01/11/2003,275.152
01/12/2003,275.594
01/01/2004,276.49
01/02/2004,279.243
01/03/2004,282.47
01/04/2004,284.128
01/05/2004,289.317
01/06/2004,291.348
01/07/2004,294.625
01/08/2004,297.003
01/09/2004,298.722
01/10/2004,302.275
01/11/2004,304.429
01/12/2004,305.974
01/01/2005,308.284
01/02/2005,309.646
01/03/2005,311.733
01/04/2005,313.977
01/05/2005,320.524
01/06/2005,322.974
01/07/2005,323.332
01/08/2005,323.382
01/09/2005,324.164
01/10/2005,324.782
01/11/2005,325.703
01/12/2005,326.915
01/01/2006,328.042
01/02/2006,328.651
01/03/2006,329.32
01/04/2006,330.501
01/05/2006,334.867
01/06/2006,337.892
01/07/2006,339.484
01/08/2006,340.283
01/09/2006,340.67
01/10/2006,341.369
01/11/2006,342.159
01/12/2006,343.401
01/01/2007,344.943
01/02/2007,345.682
01/03/2007,346.617
01/04/2007,348.194
01/05/2007,352.204
01/06/2007,355.456
01/07/2007,356.545
01/08/2007,357.467
01/09/2007,359.276
01/10/2007,361.102
01/11/2007,362.403
01/12/2007,364.525
01/01/2008,365.906
01/02/2008,367.382
01/03/2008,369.812
01/04/2008,373.031
01/05/2008,380.582
01/06/2008,387.906
01/07/2008,393.556
01/08/2008,398.202
01/09/2008,401.975
01/10/2008,405.09
01/11/2008,407.109
01/12/2008,407.807
01/01/2009,409.166
01/02/2009,410.262
01/03/2009,409.216
01/04/2009,409.042
01/05/2009,414.742
01/06/2009,417.657
01/07/2009,418.757
01/08/2009,418.528
01/09/2009,419.147
01/10/2009,419.405
01/11/2009,420.635
01/12/2009,421.051
01/01/2010,423.74
01/02/2010,425.268
01/03/2010,428.476
01/04/2010,432.079
01/05/2010,439.914
01/06/2010,444.718
01/07/2010,446.688
01/08/2010,447.296
01/09/2010,448.222
01/10/2010,449.103
01/11/2010,450.763
01/12/2010,453.766
01/01/2011,455.619
01/02/2011,456.917
01/03/2011,458.887
01/04/2011,463.766
01/05/2011,477.405
01/06/2011,479.183
01/07/2011,481.33
01/08/2011,481.966
01/09/2011,482.658
01/10/2011,483.758
01/11/2011,487.221
01/12/2011,487.749
01/01/2012,492.106
01/02/2012,493.584
01/03/2012,496.079
01/04/2012,499.791
01/05/2012,509.184
01/06/2012,512.903
01/07/2012,516.318
01/08/2012,517.657
01/09/2012,518.816
01/10/2012,519.907
01/11/2012,521.638
01/12/2012,522.474
01/01/2013,525.85
01/02/2013,529.029
01/03/2013,531.691
01/04/2013,535.601
01/05/2013,547.655
01/06/2013,553.948
01/07/2013,556.6
01/08/2013,558.34
01/09/2013,560.767
01/10/2013,562.241
01/11/2013,564.201
01/12/2013,564.765
01/01/2014,569.72
01/02/2014,571.577
01/03/2014,573.156
01/04/2014,578.224
01/05/2014,590.099
01/06/2014,594.013
01/07/2014,598.441
01/08/2014,598.898
01/09/2014,599.823
01/10/2014,600.865
01/11/2014,603.524
01/12/2014,604.026
01/01/2015,609.568
01/02/2015,611.447
01/03/2015,615.248
01/04/2015,618.06
01/05/2015,623.951
01/06/2015,635.403
01/07/2015,638.88
01/08/2015,642.644
01/09/2015,644.046
01/10/2015,646.355
01/11/2015,648.542
01/12/2015,649.216
01/01/2016,651.759
01/02/2016,655.263
01/03/2016,659.446
01/04/2016,663.057
01/05/2016,663.61
01/06/2016,676.42
01/07/2016,679.751
01/08/2016,681.756
01/09/2016,684.025
01/10/2016,685.489
01/11/2016,686.607
01/12/2016,688.985
01/01/2017,691.792
01/02/2017,696.314
01/03/2017,697.41
01/04/2017,697.244
01/05/2017,701.664
01/06/2017,708.197
01/07/2017,710.355
01/08/2017,712.884
01/09/2017,713.33
01/10/2017,715.527
01/11/2017,717.751
01/12/2017,718.276
01/01/2018,720.495
01/02/2018,721.414
01/03/2018,723.163
01/04/2018,725.245
01/05/2018,726.923
01/06/2018,733.984
01/07/2018,738.487
01/08/2018,739.583
01/09/2018,741.305
01/10/2018,743.866
01/11/2018,744.865
01/12/2018,745.856
01/01/2019,749.517
01/02/2019,750.18
01/03/2019,752.524
01/04/2019,755.373
01/05/2019,755.625
01/06/2019,762.304
01/07/2019,766.699
01/08/2019,769.951
01/09/2019,773.52
01/10/2019,774.939
01/11/2019,775.225
01/12/2019,776.839
01/01/2020,779.766
01/02/2020,782.336
01/03/2020,784.338
01/04/2020,786.07
01/05/2020,787.666
01/06/2020,790.331
01/07/2020,799.589
01/08/2020,805.356
01/09/2020,814.701
01/10/2020,828.778
01/11/2020,839.382
01/12/2020,845.268
01/01/2021,852.809
01/02/2021,868.929
01/03/2021,880.265
01/04/2021,888.191
01/05/2021,907.899
01/06/2021,927.512
01/07/2021,935.359
01/08/2021,939.699
01/09/2021,944.52
01/10/2021,952.596
01/11/2021,959.001
01/12/2021,962.321
01/01/2022,969.184
01/02/2022,972.904
01/03/2022,981.244
01/04/2022,990.543
01/05/2022,1013.164
01/06/2022,1034.824
01/07/2022,1043.76
01/08/2022,1044.679
01/09/2022,1045.616
01/10/2022,1046.896
01/11/2022,1050.701
01/12/2022,1051.632
01/01/2023,1056.418
01/02/2023,1056.896
01/03/2023,1060.116
01/04/2023,1061.635
01/05/2023,1067.919
01/06/2023,1075.54
01/07/2023,1076.626
01/08/2023,1078.412
01/09/2023,1082.104
01/10/2023,1084.242
01/11/2023,1084.986
01/12/2023,1088.312
01/01/2024,1091.25
01/02/2024,1092.685
01/03/2024,1095.738
01/04/2024,1101.389
01/05/2024,1110.887
01/06/2024,1118.827
01/07/2024,1126.916
01/08/2024,1134.775
01/09/2024,1141.398
01/10/2024,1149.17
01/11/2024,1153.725
01/12/2024,1159.536
01/01/2025,1169.116
01/02/2025,1173.775
01/03/2025,1178.386
01/04/2025,1184.462
01/05/2025,1191.327
01/06/2025,1199.509
01/07/2025,1210.471
01/08/2025,1216.706
